,deliverCoin,deliverPoint,groupId,leftTime,noPassNum,packageCopyId,passNum,passRate,product_id,status,submitDate,task_id
240,1600,0,10215990,0,0,23039142,20,1.0,12714588,6,1556176493000,132269
241,1280,0,10214555,0,2,23039020,18,0.8999999761581421,12714588,6,1556174462000,132269
242,1280,0,10212830,0,2,23033414,18,0.8999999761581421,12714588,6,1556174138000,132264
243,1280,0,10209553,0,2,23033213,18,0.8999999761581421,12714588,6,1556173424000,132264
244,960,0,10205099,0,3,23032769,17,0.8500000238418579,12714588,6,1556171614000,132264
245,1600,0,10199720,0,0,23028634,20,1.0,12714588,6,1556170262000,132251
246,1280,0,10197554,0,2,23027978,18,0.8999999761581421,12714588,6,1556167584000,132251
247,0,0,10209593,0,5,23020600,15,0.75,12714588,6,1556173626000,132233
248,1280,0,10203153,0,2,23020378,18,0.8999999761581421,12714588,6,1556169578000,132233
249,1280,0,10201840,0,2,23019887,18,0.8999999761581421,12714588,6,1556169383000,132233
250,1600,0,10197581,0,1,23020131,19,0.949999988079071,12714588,6,1556168790000,132233
251,0,0,10235399,0,0,23007009,0,0.0,12714588,2,1556192705000,132212
252,1600,0,10209616,0,1,23006354,19,0.949999988079071,12714588,6,1556173798000,132212
253,1600,0,10200942,0,1,23006287,19,0.949999988079071,12714588,6,1556169764000,132212
254,1600,0,10197616,0,0,23006230,20,1.0,12714588,6,1556168316000,132212
255,0,0,10235395,0,0,22997839,0,0.0,12714588,2,1556192704000,132202
256,960,0,10202678,0,3,22996715,17,0.8500000238418579,12714588,6,1556170146000,132202
257,0,0,10200378,0,4,22996693,16,0.800000011920929,12714588,6,1556169174000,132202
258,1280,0,10197636,0,2,22996653,18,0.8999999761581421,12714588,6,1556167985000,132202
259,0,0,10155638,0,8,22966366,12,0.6000000238418579,12714588,6,1556094090000,132134
260,960,0,10155981,0,3,22960006,17,0.8500000238418579,12714588,6,1556094369000,132107
261,0,0,10149445,0,8,22959420,12,0.6000000238418579,12714588,6,1556089466000,132107
262,1280,0,10149113,0,2,22959380,18,0.8999999761581421,12714588,6,1556089178000,132107
263,1280,0,10148460,0,2,22959306,18,0.8999999761581421,12714588,6,1556088706000,132107
264,1600,0,10148142,0,0,22959268,20,1.0,12714588,6,1556088481000,132107
265,0,0,10145198,0,4,22959020,16,0.800000011920929,12714588,6,1556086844000,132107
266,1600,0,10158240,0,1,22956391,19,0.949999988079071,12714588,6,1556095911000,132099
267,0,0,10145525,0,6,22955665,14,0.699999988079071,12714588,6,1556087055000,132099
268,960,0,10142265,0,3,22955149,17,0.8500000238418579,12714588,6,1556084824000,132099
269,0,0,10141910,0,4,22955088,16,0.800000011920929,12714588,6,1556084644000,132099
270,1600,0,10139293,0,1,22954750,19,0.949999988079071,12714588,6,1556083165000,132099
271,960,0,10137872,0,3,22945998,17,0.8500000238418579,12714588,6,1556083004000,132086
272,1280,0,10130350,0,2,22945777,18,0.8999999761581421,12714588,6,1556076439000,132086
273,0,0,10130039,0,4,22945747,16,0.800000011920929,12714588,6,1556076193000,132086
274,0,0,10167794,0,0,22942619,0,0.0,12714588,2,1556108634000,132076
275,0,0,10167398,0,4,22942577,16,0.800000011920929,12714588,6,1556104533000,132076
276,1600,0,10137879,0,1,22941326,19,0.949999988079071,12714588,6,1556082789000,132076
277,1280,0,10127615,0,2,22940978,18,0.8999999761581421,12714588,6,1556074633000,132076
